Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
52,Oregon,Pac-12,,,23,11,75.3,71.9,3.47,,8.79,,6.25,6.01,12.26,115.09,97.66,17.43
53,Xavier,Big East,,,16,17,75.8,74.5,1.3,,10.95,,8.61,3.64,12.25,112.63,95.1,17.53
54,Butler,Big East,,,18,14,77.3,73.7,3.53,,9.42,,8.6,3.63,12.23,113.63,96.69,16.94
55,Utah State,MWC,,22,27,6,79.8,70.3,9.52,,4.75,,9.14,3.03,12.17,115.42,98.03,17.39
56,Washington,Pac-12,,,17,15,80.6,77.1,3.47,,8.61,,12.14,-0.06,12.08,115.12,98.13,16.99
57,Kansas State,Big 12,,,19,14,71.9,70.5,1.39,,10.43,,4.76,7.06,11.82,110.23,93.26,16.96
58,Virginia Tech,ACC,,,18,14,75,71.1,3.94,,7.85,,7.08,4.7,11.78,116.83,99.26,17.57
59,NC State,ACC,,,22,14,76.4,72.7,3.67,,7.91,,7.87,3.7,11.57,115.22,98.76,16.46
60,South Carolina,SEC,,17,26,7,72,67,5.06,,6.49,,1.54,10.01,11.55,114.06,97.14,16.92
61,Seton Hall,Big East,,,20,12,72.8,70.2,2.63,,8.74,,4.09,7.27,11.36,112.88,96.79,16.09
62,Drake,MVC,,,28,6,80.5,70.5,9.97,,1.52,,8.45,2.74,11.19,115.66,99.48,16.17
63,Virginia,ACC,,,23,10,63.6,59.6,4,,7,,-6.52,17.51,11,106.66,90.21,16.45
64,Maryland,Big Ten,,,16,17,69,65.9,3.15,,7.71,,0.2,10.66,10.86,107.72,92.6,15.12
65,Southern Methodist,AAC,,,20,12,76.3,67.8,8.53,,2.5,,4.43,6.26,10.69,111.19,96.04,15.15
66,Grand Canyon,WAC,,,29,4,79.8,66.9,12.88,,-1.69,,5.43,4.6,10.03,111.99,97.35,14.64
67,Minnesota,Big Ten,,,18,14,75.4,71.8,3.66,,6.25,,5.63,4.28,9.91,113.84,100.16,13.68
68,San Francisco,WCC,,,23,10,77.9,66.3,11.58,,-0.08,,3.52,6.18,9.7,112.34,97.46,14.88
69,Bradley,MVC,,,22,11,74.6,67,7.55,,2.57,,3.69,5.97,9.66,112.8,98.64,14.16
70,Southern California,Pac-12,,,15,18,74.1,74.3,-0.18,,9.77,,5.56,4.03,9.59,110.93,97.64,13.3
71,Miami (FL),ACC,,,15,17,75.8,73.6,2.13,,7.42,,6.42,3.13,9.54,111.87,99.47,12.4
72,Boston College,ACC,,,19,15,74.6,72.1,2.47,,6.98,,5.79,3.66,9.45,113.56,100.08,13.49
73,Penn State,Big Ten,,,16,17,75.1,73.4,1.7,,7.76,,6.66,2.79,9.45,111.33,97.95,13.38
74,Florida State,ACC,,,17,16,76.5,76.3,0.24,,9.2,,7.58,1.86,9.44,110.94,97.74,13.2
75,Memphis,AAC,,,22,10,80.5,75.8,4.75,,4.49,,10.09,-0.86,9.24,112.95,99.92,13.03
76,Virginia Commonwealth,A-10,,,22,12,72.1,67,5.15,,3.85,,1.46,7.54,9,110.4,97.06,13.33
77,Nevada-Las Vegas,MWC,,,19,12,73.2,67.8,5.39,,6.34,,2.8,6.13,8.92,112.69,99.31,13.38
78,North Texas,AAC,,,18,14,69.1,63.1,5.97,,4.17,,-3.33,12.13,8.8,109.86,96.48,13.38
79,James Madison,Sun Belt,,,31,3,84.4,69.2,15.18,,-4.81,,7.94,0.74,8.68,112.03,100.11,11.91
80,Louisiana State,SEC,,,17,15,76.3,74.7,1.66,,6.99,,6.46,2.18,8.64,111.01,98.76,12.25
81,Mississippi,SEC,,,20,12,74.9,73.9,1.03,,7.54,,5.04,3.53,8.57,113.12,101.04,12.09
82,Georgia,SEC,,,17,16,74.8,74.6,0.21,,8.35,,4.34,4.23,8.56,109.06,96.84,12.22
83,Syracuse,ACC,,,20,12,76.3,75.6,0.69,,9.19,,6.75,1.57,8.32,110.73,98.65,12.09
84,Richmond,A-10,,,23,9,72.3,66.1,6.25,,2.02,,0.91,7.36,8.27,108.44,96.54,11.9
85,Indiana,Big Ten,,,19,14,72.3,74.3,-2,,10.03,,4.12,3.91,8.03,110.2,98.73,11.47
86,Massachusetts,A-10,,,20,11,77.5,70.7,6.71,,1.11,,5.41,2.4,7.82,111.42,100.42,11
87,UCLA,Pac-12,,,16,17,66,65.5,0.52,,8.08,,-3.58,11.31,7.73,107.9,96.77,11.13
88,Rutgers,Big Ten,,,15,17,65.4,66.5,-1.16,,8.83,,-3.06,10.74,7.67,100.39,89.72,10.66
89,Stanford,Pac-12,,,14,18,76.3,76.5,-0.13,,7.77,,7.08,0.56,7.65,111.16,100.94,10.21
90,South Florida,AAC,,24,24,7,75.8,69.1,6.77,,0.62,,3.1,4.29,7.39,109.81,99.14,10.67
